Name,Status,District,Population Census 1991-03-01,Population Census 2001-03-01,Population Census 2011-03-01,query,lat,lon
Melpattampakkam,Town Panchayat,Cuddalore,...,"6,598","6,887","Melpattampakkam, Cuddalore, Tamil Nadu, India",11.7869062,79.6313497
Melur,Municipality,Madurai,"32,878","33,881","40,017","Melur, Madurai, Tamil Nadu, India",10.0858443,78.3560235
Melvisharam,Municipality,Vellore,"26,613","36,757","44,786","Melvisharam, Vellore, Tamil Nadu, India",12.91494,79.27982
Methukummal,Census Town,Kanniyakumari,...,...,"19,417","Methukummal, Kanniyakumari, Tamil Nadu, India",8.3013286,77.1350394
Mettamalai,Census Town,Virudhunagar,...,"4,367","5,175","Mettamalai, Virudhunagar, Tamil Nadu, India",9.3981186,77.8939081
Mettupalayam,Municipality,Coimbatore,"63,479","66,595","69,213","Mettupalayam, Coimbatore, Tamil Nadu, India",11.3059363,76.9356545
Mettupalayam,Town Panchayat,Tiruchirappalli,...,"7,550","7,681","Mettupalayam, Tiruchirappalli, Tamil Nadu, India",11.1858799,78.4574192
Mettur,Municipality,Salem,"45,773","53,633","52,813","Mettur, Salem, Tamil Nadu, India",11.7928257,77.8648624
Mevalurkuppam,Census Town,Kanchipuram,...,...,"3,805","Mevalurkuppam, Kanchipuram, Tamil Nadu, India",13.0280202,80.007207
Midalam,Census Town,Kanniyakumari,...,...,"8,625","Midalam, Kanniyakumari, Tamil Nadu, India",8.2060327,77.2160949
Milavittan,Census Town,Thoothukkudi,...,"30,758","45,863","Milavittan, Thoothukkudi, Tamil Nadu, India",8.811644,78.0877263
Minjur,Town Panchayat,Thiruvallur,...,"23,742","28,337","Minjur, Thiruvallur, Tamil Nadu, India",13.2813398,80.2602441
Mohanur,Town Panchayat,Namakkal,...,"12,468","14,315","Mohanur, Namakkal, Tamil Nadu, India",11.0689318,78.1398608
Moolakaraipatti,Town Panchayat,Tirunelveli,...,"9,742","11,112","Moolakaraipatti, Tirunelveli, Tamil Nadu, India",8.5444972,77.7670638
Mudukulathur,Town Panchayat,Ramanathapuram,...,"13,126","14,789","Mudukulathur, Ramanathapuram, Tamil Nadu, India",9.3821268,78.5515713
Mukkudal,Town Panchayat,Tirunelveli,...,"13,955","14,983","Mukkudal, Tirunelveli, Tamil Nadu, India",8.8354613,77.4907465
Mulanur,Town Panchayat,Tiruppur,...,"13,827","15,223","Mulanur, Tiruppur, Tamil Nadu, India",10.794702,77.7111766
Muruganpalayam,Census Town,Tiruppur,...,"14,440","26,349","Muruganpalayam, Tiruppur, Tamil Nadu, India",11.066082,77.3332246
Musiri,Town Panchayat,Tiruchirappalli,"22,103","27,941","28,727","Musiri, Tiruchirappalli, Tamil Nadu, India",11.0488173,78.5282293
Muthupet,Town Panchayat,Thiruvarur,...,"17,383","21,722","Muthupet, Thiruvarur, Tamil Nadu, India",10.3956923,79.4944659
Muthur,Town Panchayat,Tiruppur,...,"11,880","13,212","Muthur, Tiruppur, Tamil Nadu, India",11.0436623,77.7344856
Muzhucode,Census Town,Kanniyakumari,...,...,"8,000","Muzhucode, Kanniyakumari, Tamil Nadu, India",8.3617082,77.2276181
Nadaikavu,Census Town,Kanniyakumari,...,...,"8,727","Nadaikavu, Kanniyakumari, Tamil Nadu, India",8.2910511,77.1474577
Nadukuthagai,Census Town,Thiruvallur,...,"6,283","9,251","Nadukuthagai, Thiruvallur, Tamil Nadu, India",13.1311812,80.0385928
Naduvaneri,Census Town,Salem,...,"7,463","8,485","Naduvaneri, Salem, Tamil Nadu, India",11.57528,78.0015
Nagamangalam,Census Town,Tiruchirappalli,...,"4,322","5,785","Nagamangalam, Tiruchirappalli, Tamil Nadu, India",10.7015146,78.6227989
